Sample in Buffer	Sample in Window	adc_data_ch0
384	384	-1868	
385	385	-1912	
386	386	1532	
387	387	2405	
388	388	-685	
389	389	-2520	
390	390	209	
391	391	2629	
392	392	689	
393	393	-2362	
394	394	-1174	
395	395	2180	
396	396	1869	
397	397	-1517	
398	398	-2182	
399	399	1120	
400	400	2558	
401	401	-222	
402	402	-2545	
403	403	-270	
404	404	2556	
405	405	1123	
406	406	-2151	
407	407	-1560	
408	408	1894	
409	409	2176	
410	410	-1116	
411	411	-2390	
412	412	671	
413	413	2628	
414	414	248	
415	415	-2497	
416	416	-730	
417	417	2410	
418	418	1523	
419	419	-1865	
420	420	-1907	
421	421	1528	
422	422	2402	
423	423	-678	
424	424	-2510	
425	425	206	
426	426	2634	
427	427	696	
428	428	-2365	
429	429	-1171	
430	430	2191	
431	431	1872	
432	432	-1504	
433	433	-2190	
434	434	1122	
435	435	2558	
436	436	-227	
437	437	-2546	
438	438	-265	
439	439	2560	
440	440	1126	
441	441	-2151	
442	442	-1564	
443	443	1891	
444	444	2171	
445	445	-1112	
446	446	-2391	
447	447	674	
448	448	2634	
449	449	235	
450	450	-2500	
451	451	-732	
452	452	2408	
453	453	1525	
454	454	-1867	
455	455	-1908	
456	456	1534	
457	457	2398	
458	458	-681	
459	459	-2516	
460	460	197	
461	461	2635	
462	462	693	
463	463	-2368	
464	464	-1171	
465	465	2189	
466	466	1880	
467	467	-1510	
468	468	-2182	
469	469	1122	
470	470	2561	
471	471	-220	
472	472	-2551	
473	473	-264	
474	474	2558	
475	475	1122	
476	476	-2153	
477	477	-1566	
478	478	1897	
479	479	2173	
480	480	-1113	
481	481	-2394	
482	482	676	
483	483	2631	
484	484	244	
485	485	-2498	
486	486	-734	
487	487	2416	
488	488	1521	
489	489	-1868	
490	490	-1913	
491	491	1531	
492	492	2403	
493	493	-677	
494	494	-2512	
495	495	210	
496	496	2634	
497	497	692	
498	498	-2363	
499	499	-1171	
500	500	2188	
501	501	1872	
502	502	-1517	
503	503	-2189	
504	504	1122	
505	505	2556	
506	506	-223	
507	507	-2545	
508	508	-275	
509	509	2557	
510	510	1125	
511	511	-2147	
512	512	-1566	
513	513	1888	
514	514	2171	
515	515	-1117	
516	516	-2389	
517	517	673	
518	518	2633	
519	519	244	
520	520	-2496	
521	521	-728	
522	522	2412	
523	523	1525	
524	524	-1866	
525	525	-1909	
526	526	1531	
527	527	2401	
528	528	-674	
529	529	-2511	
530	530	198	
531	531	2636	
532	532	688	
533	533	-2366	
534	534	-1172	
535	535	2187	
