Sample in Buffer	Sample in Window	adc_data_ch0
1547	1547	691	
1548	1548	-2371	
1549	1549	-1171	
1550	1550	2186	
1551	1551	1876	
1552	1552	-1516	
1553	1553	-2185	
1554	1554	1124	
1555	1555	2555	
1556	1556	-219	
1557	1557	-2553	
1558	1558	-274	
1559	1559	2559	
1560	1560	1125	
1561	1561	-2155	
1562	1562	-1570	
1563	1563	1889	
1564	1564	2164	
1565	1565	-1118	
1566	1566	-2397	
1567	1567	673	
1568	1568	2633	
1569	1569	238	
1570	1570	-2502	
1571	1571	-733	
1572	1572	2410	
1573	1573	1519	
1574	1574	-1861	
1575	1575	-1910	
1576	1576	1531	
1577	1577	2406	
1578	1578	-682	
1579	1579	-2515	
1580	1580	205	
1581	1581	2633	
1582	1582	696	
1583	1583	-2369	
1584	1584	-1171	
1585	1585	2189	
1586	1586	1873	
1587	1587	-1516	
1588	1588	-2193	
1589	1589	1120	
1590	1590	2554	
1591	1591	-226	
1592	1592	-2552	
1593	1593	-266	
1594	1594	2563	
1595	1595	1121	
1596	1596	-2150	
1597	1597	-1567	
1598	1598	1889	
1599	1599	2173	
1600	1600	-1115	
1601	1601	-2391	
1602	1602	671	
1603	1603	2632	
1604	1604	240	
1605	1605	-2499	
1606	1606	-737	
1607	1607	2411	
1608	1608	1518	
1609	1609	-1867	
1610	1610	-1908	
1611	1611	1529	
1612	1612	2401	
1613	1613	-678	
1614	1614	-2516	
1615	1615	211	
1616	1616	2630	
1617	1617	685	
1618	1618	-2367	
1619	1619	-1168	
1620	1620	2184	
1621	1621	1870	
1622	1622	-1518	
1623	1623	-2193	
1624	1624	1127	
1625	1625	2557	
1626	1626	-226	
1627	1627	-2550	
1628	1628	-262	
1629	1629	2559	
1630	1630	1124	
1631	1631	-2152	
1632	1632	-1567	
1633	1633	1890	
1634	1634	2168	
1635	1635	-1111	
1636	1636	-2392	
1637	1637	671	
1638	1638	2634	
1639	1639	235	
1640	1640	-2499	
1641	1641	-732	
1642	1642	2412	
1643	1643	1515	
1644	1644	-1861	
1645	1645	-1910	
1646	1646	1533	
1647	1647	2402	
1648	1648	-673	
1649	1649	-2513	
1650	1650	204	
1651	1651	2633	
1652	1652	695	
1653	1653	-2362	
1654	1654	-1168	
1655	1655	2188	
1656	1656	1874	
1657	1657	-1515	
1658	1658	-2186	
1659	1659	1117	
1660	1660	2552	
1661	1661	-226	
1662	1662	-2549	
1663	1663	-266	
1664	1664	2561	
1665	1665	1128	
1666	1666	-2151	
1667	1667	-1566	
1668	1668	1897	
1669	1669	2172	
1670	1670	-1113	
1671	1671	-2390	
1672	1672	673	
1673	1673	2633	
1674	1674	236	
1675	1675	-2501	
1676	1676	-731	
1677	1677	2414	
1678	1678	1524	
1679	1679	-1861	
1680	1680	-1903	
1681	1681	1528	
1682	1682	2402	
1683	1683	-681	
1684	1684	-2514	
1685	1685	201	
1686	1686	2634	
1687	1687	690	
1688	1688	-2363	
1689	1689	-1172	
1690	1690	2185	
1691	1691	1875	
1692	1692	-1508	
1693	1693	-2186	
1694	1694	1119	
1695	1695	2554	
1696	1696	-224	
1697	1697	-2551	
1698	1698	-270	
1699	1699	2560	
1700	1700	1127	
1701	1701	-2155	
1702	1702	-1565	
1703	1703	1895	
1704	1704	2172	
1705	1705	-1112	
1706	1706	-2394	
1707	1707	680	
1708	1708	2639	
1709	1709	242	
1710	1710	-2498	
1711	1711	-727	
1712	1712	2404	
1713	1713	1524	
1714	1714	-1863	
1715	1715	-1908	
1716	1716	1534	
1717	1717	2403	
1718	1718	-680	
1719	1719	-2518	
1720	1720	197	
1721	1721	2634	
1722	1722	686	
1723	1723	-2371	
1724	1724	-1169	
1725	1725	2193	
1726	1726	1874	
1727	1727	-1511	
1728	1728	-2182	
1729	1729	1125	
1730	1730	2554	
1731	1731	-223	
1732	1732	-2550	
1733	1733	-261	
1734	1734	2563	
1735	1735	1125	
1736	1736	-2149	
1737	1737	-1564	
1738	1738	1894	
1739	1739	2168	
1740	1740	-1113	
1741	1741	-2386	
1742	1742	672	
1743	1743	2635	
1744	1744	243	
1745	1745	-2496	
1746	1746	-726	
1747	1747	2411	
1748	1748	1522	
1749	1749	-1863	
1750	1750	-1908	
1751	1751	1529	
1752	1752	2407	
1753	1753	-678	
1754	1754	-2511	
1755	1755	205	
1756	1756	2633	
1757	1757	690	
1758	1758	-2368	
1759	1759	-1170	
1760	1760	2183	
1761	1761	1873	
1762	1762	-1513	
1763	1763	-2185	
1764	1764	1120	
1765	1765	2556	
1766	1766	-214	
1767	1767	-2551	
1768	1768	-263	
1769	1769	2558	
1770	1770	1128	
1771	1771	-2147	
1772	1772	-1566	
1773	1773	1894	
1774	1774	2176	
1775	1775	-1116	
1776	1776	-2385	
1777	1777	674	
1778	1778	2631	
1779	1779	242	
1780	1780	-2500	
1781	1781	-732	
1782	1782	2412	
1783	1783	1526	
1784	1784	-1860	
1785	1785	-1908	
1786	1786	1532	
1787	1787	2398	
1788	1788	-676	
1789	1789	-2510	
1790	1790	209	
1791	1791	2632	
1792	1792	695	
1793	1793	-2360	
1794	1794	-1172	
1795	1795	2185	
1796	1796	1873	
1797	1797	-1514	
1798	1798	-2189	
1799	1799	1121	
1800	1800	2556	
1801	1801	-216	
1802	1802	-2545	
1803	1803	-265	
1804	1804	2561	
1805	1805	1125	
1806	1806	-2150	
1807	1807	-1565	
1808	1808	1893	
1809	1809	2170	
1810	1810	-1116	
1811	1811	-2391	
1812	1812	675	
1813	1813	2633	
1814	1814	244	
1815	1815	-2496	
1816	1816	-726	
1817	1817	2410	
1818	1818	1522	
1819	1819	-1869	
1820	1820	-1912	
1821	1821	1526	
1822	1822	2402	
1823	1823	-679	
1824	1824	-2512	
1825	1825	205	
1826	1826	2631	
1827	1827	692	
1828	1828	-2369	
1829	1829	-1170	
1830	1830	2193	
1831	1831	1878	
1832	1832	-1513	
1833	1833	-2187	
1834	1834	1121	
1835	1835	2556	
1836	1836	-219	
1837	1837	-2554	
1838	1838	-271	
1839	1839	2557	
1840	1840	1124	
1841	1841	-2153	
1842	1842	-1565	
1843	1843	1889	
1844	1844	2174	
1845	1845	-1113	
1846	1846	-2383	
1847	1847	677	
1848	1848	2636	
1849	1849	239	
1850	1850	-2501	
1851	1851	-731	
1852	1852	2416	
1853	1853	1525	
1854	1854	-1863	
1855	1855	-1906	
1856	1856	1531	
1857	1857	2399	
1858	1858	-677	
1859	1859	-2512	
1860	1860	210	
1861	1861	2634	
1862	1862	695	
1863	1863	-2361	
1864	1864	-1167	
1865	1865	2190	
1866	1866	1873	
1867	1867	-1512	
1868	1868	-2188	
1869	1869	1115	
1870	1870	2556	
1871	1871	-226	
1872	1872	-2552	
1873	1873	-265	
1874	1874	2561	
1875	1875	1125	
1876	1876	-2148	
1877	1877	-1559	
1878	1878	1885	
1879	1879	2179	
1880	1880	-1119	
1881	1881	-2391	
1882	1882	672	
1883	1883	2635	
1884	1884	231	
1885	1885	-2498	
1886	1886	-734	
1887	1887	2413	
1888	1888	1522	
1889	1889	-1868	
1890	1890	-1907	
1891	1891	1534	
1892	1892	2404	
1893	1893	-674	
1894	1894	-2512	
1895	1895	205	
1896	1896	2637	
1897	1897	695	
1898	1898	-2363	
1899	1899	-1167	
1900	1900	2187	
1901	1901	1877	
1902	1902	-1516	
1903	1903	-2193	
1904	1904	1120	
1905	1905	2553	
1906	1906	-219	
1907	1907	-2554	
1908	1908	-269	
1909	1909	2559	
1910	1910	1126	
1911	1911	-2152	
1912	1912	-1571	
1913	1913	1894	
1914	1914	2171	
1915	1915	-1118	
1916	1916	-2394	
1917	1917	674	
1918	1918	2633	
1919	1919	244	
1920	1920	-2500	
1921	1921	-732	
1922	1922	2408	
1923	1923	1522	
1924	1924	-1863	
1925	1925	-1906	
1926	1926	1523	
1927	1927	2397	
1928	1928	-682	
1929	1929	-2514	
1930	1930	207	
1931	1931	2633	
1932	1932	691	
1933	1933	-2364	
1934	1934	-1171	
1935	1935	2189	
1936	1936	1870	
1937	1937	-1516	
1938	1938	-2187	
1939	1939	1119	
1940	1940	2557	
1941	1941	-220	
1942	1942	-2554	
1943	1943	-266	
1944	1944	2559	
1945	1945	1127	
1946	1946	-2151	
1947	1947	-1566	
1948	1948	1888	
1949	1949	2174	
1950	1950	-1114	
1951	1951	-2392	
1952	1952	669	
1953	1953	2630	
1954	1954	243	
1955	1955	-2503	
1956	1956	-728	
1957	1957	2413	
1958	1958	1527	
1959	1959	-1864	
1960	1960	-1911	
1961	1961	1541	
1962	1962	2402	
1963	1963	-680	
1964	1964	-2514	
1965	1965	203	
1966	1966	2634	
1967	1967	692	
1968	1968	-2363	
1969	1969	-1165	
1970	1970	2190	
1971	1971	1873	
1972	1972	-1524	
1973	1973	-2188	
1974	1974	1127	
1975	1975	2556	
1976	1976	-221	
1977	1977	-2547	
1978	1978	-269	
1979	1979	2565	
1980	1980	1129	
1981	1981	-2153	
1982	1982	-1563	
1983	1983	1895	
1984	1984	2176	
1985	1985	-1110	
1986	1986	-2392	
1987	1987	671	
1988	1988	2630	
1989	1989	240	
1990	1990	-2504	
1991	1991	-733	
1992	1992	2407	
1993	1993	1525	
1994	1994	-1866	
1995	1995	-1903	
1996	1996	1534	
1997	1997	2401	
1998	1998	-676	
1999	1999	-2508	
2000	2000	204	
2001	2001	2637	
2002	2002	700	
2003	2003	-2365	
2004	2004	-1169	
2005	2005	2188	
2006	2006	1873	
2007	2007	-1512	
2008	2008	-2187	
2009	2009	1120	
2010	2010	2551	
2011	2011	-226	
2012	2012	-2551	
2013	2013	-267	
2014	2014	2557	
2015	2015	1126	
2016	2016	-2145	
2017	2017	-1569	
2018	2018	1891	
2019	2019	2165	
2020	2020	-1111	
2021	2021	-2395	
2022	2022	675	
2023	2023	2631	
2024	2024	244	
2025	2025	-2498	
2026	2026	-725	
2027	2027	2410	
2028	2028	1518	
2029	2029	-1866	
2030	2030	-1912	
2031	2031	1530	
2032	2032	2402	
2033	2033	-679	
2034	2034	-2510	
2035	2035	208	
2036	2036	2637	
2037	2037	684	
2038	2038	-2365	
2039	2039	-1171	
2040	2040	2190	
2041	2041	1878	
2042	2042	-1514	
2043	2043	-2183	
2044	2044	1120	
2045	2045	2556	
2046	2046	-215	
2047	2047	-2549	
2048	2048	-268	
2049	2049	2558	
2050	2050	1129	
2051	2051	-2149	
2052	2052	-1565	
2053	2053	1890	
2054	2054	2172	
2055	2055	-1111	
2056	2056	-2390	
2057	2057	676	
2058	2058	2633	
2059	2059	240	
2060	2060	-2499	
2061	2061	-732	
2062	2062	2410	
2063	2063	1522	
2064	2064	-1869	
2065	2065	-1910	
2066	2066	1530	
2067	2067	2397	
2068	2068	-680	
2069	2069	-2512	
2070	2070	208	
2071	2071	2632	
2072	2072	692	
2073	2073	-2365	
2074	2074	-1165	
2075	2075	2193	
2076	2076	1871	
2077	2077	-1517	
2078	2078	-2187	
2079	2079	1119	
2080	2080	2555	
2081	2081	-218	
2082	2082	-2546	
2083	2083	-265	
2084	2084	2561	
2085	2085	1123	
2086	2086	-2151	
2087	2087	-1567	
2088	2088	1889	
2089	2089	2170	
2090	2090	-1116	
2091	2091	-2387	
2092	2092	665	
2093	2093	2633	
2094	2094	239	
2095	2095	-2504	
2096	2096	-730	
2097	2097	2408	
2098	2098	1519	
2099	2099	-1867	
2100	2100	-1912	
2101	2101	1531	
2102	2102	2398	
2103	2103	-681	
2104	2104	-2514	
2105	2105	202	
2106	2106	2630	
2107	2107	690	
2108	2108	-2365	
2109	2109	-1169	
2110	2110	2187	
2111	2111	1871	
2112	2112	-1512	
2113	2113	-2181	
2114	2114	1116	
2115	2115	2551	
2116	2116	-222	
2117	2117	-2548	
2118	2118	-273	
2119	2119	2560	
2120	2120	1128	
2121	2121	-2153	
2122	2122	-1566	
2123	2123	1894	
2124	2124	2171	
2125	2125	-1119	
2126	2126	-2386	
2127	2127	672	
2128	2128	2633	
2129	2129	239	
2130	2130	-2502	
2131	2131	-734	
2132	2132	2409	
2133	2133	1515	
2134	2134	-1863	
2135	2135	-1912	
2136	2136	1532	
2137	2137	2401	
2138	2138	-678	
2139	2139	-2513	
2140	2140	205	
2141	2141	2632	
2142	2142	692	
2143	2143	-2373	
2144	2144	-1171	
2145	2145	2180	
2146	2146	1878	
2147	2147	-1516	
2148	2148	-2186	
2149	2149	1116	
2150	2150	2557	
2151	2151	-222	
2152	2152	-2553	
2153	2153	-263	
2154	2154	2559	
2155	2155	1122	
2156	2156	-2150	
2157	2157	-1564	
2158	2158	1889	
2159	2159	2169	
2160	2160	-1121	
2161	2161	-2397	
2162	2162	676	
2163	2163	2634	
2164	2164	236	
2165	2165	-2505	
2166	2166	-731	
2167	2167	2413	
2168	2168	1515	
2169	2169	-1861	
2170	2170	-1906	
2171	2171	1530	
2172	2172	2397	
2173	2173	-681	
2174	2174	-2515	
2175	2175	208	
2176	2176	2632	
2177	2177	694	
2178	2178	-2365	
2179	2179	-1169	
2180	2180	2187	
2181	2181	1877	
2182	2182	-1518	
2183	2183	-2190	
2184	2184	1119	
2185	2185	2557	
2186	2186	-221	
2187	2187	-2554	
2188	2188	-268	
2189	2189	2562	
2190	2190	1123	
2191	2191	-2151	
2192	2192	-1565	
2193	2193	1887	
2194	2194	2169	
2195	2195	-1116	
2196	2196	-2390	
2197	2197	669	
2198	2198	2631	
2199	2199	244	
2200	2200	-2499	
2201	2201	-731	
2202	2202	2409	
2203	2203	1524	
2204	2204	-1870	
2205	2205	-1904	
2206	2206	1534	
2207	2207	2403	
2208	2208	-676	
2209	2209	-2515	
2210	2210	207	
2211	2211	2635	
2212	2212	687	
2213	2213	-2368	
2214	2214	-1166	
2215	2215	2188	
2216	2216	1877	
2217	2217	-1506	
2218	2218	-2192	
2219	2219	1119	
2220	2220	2552	
2221	2221	-226	
2222	2222	-2558	
2223	2223	-269	
2224	2224	2558	
2225	2225	1125	
2226	2226	-2153	
2227	2227	-1564	
2228	2228	1893	
2229	2229	2173	
2230	2230	-1113	
2231	2231	-2392	
2232	2232	676	
2233	2233	2637	
2234	2234	240	
2235	2235	-2501	
2236	2236	-731	
2237	2237	2408	
2238	2238	1522	
2239	2239	-1870	
2240	2240	-1912	
2241	2241	1534	
2242	2242	2405	
2243	2243	-672	
2244	2244	-2511	
2245	2245	208	
2246	2246	2636	
2247	2247	695	
2248	2248	-2362	
2249	2249	-1170	
2250	2250	2188	
2251	2251	1879	
2252	2252	-1515	
2253	2253	-2186	
2254	2254	1118	
2255	2255	2560	
2256	2256	-223	
2257	2257	-2551	
2258	2258	-270	
2259	2259	2558	
2260	2260	1124	
2261	2261	-2150	
2262	2262	-1572	
2263	2263	1892	
2264	2264	2173	
2265	2265	-1109	
2266	2266	-2393	
2267	2267	677	
2268	2268	2638	
2269	2269	241	
2270	2270	-2504	
2271	2271	-737	
2272	2272	2413	
2273	2273	1524	
2274	2274	-1861	
2275	2275	-1910	
2276	2276	1528	
2277	2277	2400	
2278	2278	-679	
2279	2279	-2511	
2280	2280	206	
2281	2281	2634	
2282	2282	693	
2283	2283	-2369	
2284	2284	-1174	
2285	2285	2190	
2286	2286	1874	
2287	2287	-1516	
2288	2288	-2188	
2289	2289	1126	
2290	2290	2559	
2291	2291	-222	
2292	2292	-2556	
2293	2293	-272	
2294	2294	2558	
2295	2295	1123	
2296	2296	-2153	
2297	2297	-1564	
2298	2298	1893	
2299	2299	2178	
2300	2300	-1114	
2301	2301	-2388	
2302	2302	668	
2303	2303	2633	
2304	2304	244	
2305	2305	-2502	
2306	2306	-731	
2307	2307	2407	
2308	2308	1524	
2309	2309	-1862	
2310	2310	-1906	
2311	2311	1528	
2312	2312	2400	
2313	2313	-680	
2314	2314	-2514	
2315	2315	205	
2316	2316	2634	
2317	2317	695	
2318	2318	-2369	
2319	2319	-1172	
2320	2320	2182	
2321	2321	1873	
2322	2322	-1516	
2323	2323	-2186	
2324	2324	1122	
2325	2325	2552	
2326	2326	-217	
2327	2327	-2546	
2328	2328	-269	
2329	2329	2565	
2330	2330	1132	
2331	2331	-2147	
2332	2332	-1562	
2333	2333	1894	
2334	2334	2167	
2335	2335	-1114	
2336	2336	-2388	
2337	2337	674	
2338	2338	2631	
2339	2339	239	
2340	2340	-2503	
2341	2341	-728	
2342	2342	2416	
2343	2343	1523	
2344	2344	-1861	
2345	2345	-1908	
2346	2346	1531	
2347	2347	2404	
2348	2348	-680	
2349	2349	-2515	
2350	2350	211	
2351	2351	2632	
2352	2352	691	
2353	2353	-2369	
2354	2354	-1172	
2355	2355	2187	
2356	2356	1874	
2357	2357	-1517	
2358	2358	-2187	
2359	2359	1121	
2360	2360	2552	
2361	2361	-227	
2362	2362	-2554	
2363	2363	-269	
2364	2364	2560	
2365	2365	1122	
2366	2366	-2149	
2367	2367	-1566	
2368	2368	1891	
2369	2369	2169	
2370	2370	-1115	
2371	2371	-2388	
2372	2372	673	
2373	2373	2631	
2374	2374	238	
2375	2375	-2500	
2376	2376	-733	
2377	2377	2409	
2378	2378	1522	
2379	2379	-1862	
2380	2380	-1911	
2381	2381	1529	
2382	2382	2405	
2383	2383	-679	
2384	2384	-2515	
2385	2385	200	
2386	2386	2634	
2387	2387	686	
2388	2388	-2370	
2389	2389	-1169	
2390	2390	2190	
2391	2391	1878	
2392	2392	-1515	
2393	2393	-2186	
2394	2394	1127	
2395	2395	2559	
2396	2396	-216	
2397	2397	-2548	
2398	2398	-262	
2399	2399	2559	
2400	2400	1123	
2401	2401	-2151	
2402	2402	-1567	
2403	2403	1891	
2404	2404	2172	
2405	2405	-1112	
2406	2406	-2390	
2407	2407	676	
2408	2408	2630	
2409	2409	241	
2410	2410	-2499	
2411	2411	-734	
2412	2412	2412	
2413	2413	1523	
2414	2414	-1862	
2415	2415	-1904	
2416	2416	1530	
2417	2417	2402	
2418	2418	-679	
2419	2419	-2513	
2420	2420	201	
2421	2421	2636	
2422	2422	684	
2423	2423	-2363	
2424	2424	-1165	
2425	2425	2190	
2426	2426	1881	
2427	2427	-1513	
2428	2428	-2188	
2429	2429	1120	
2430	2430	2559	
2431	2431	-221	
2432	2432	-2548	
2433	2433	-271	
2434	2434	2557	
2435	2435	1126	
2436	2436	-2147	
2437	2437	-1565	
2438	2438	1891	
2439	2439	2172	
2440	2440	-1115	
2441	2441	-2389	
2442	2442	674	
2443	2443	2635	
2444	2444	236	
2445	2445	-2498	
2446	2446	-732	
2447	2447	2413	
2448	2448	1526	
2449	2449	-1863	
2450	2450	-1900	
2451	2451	1530	
2452	2452	2402	
2453	2453	-678	
2454	2454	-2511	
2455	2455	208	
2456	2456	2634	
2457	2457	690	
2458	2458	-2361	
2459	2459	-1165	
2460	2460	2183	
2461	2461	1872	
2462	2462	-1517	
2463	2463	-2193	
2464	2464	1117	
2465	2465	2556	
2466	2466	-221	
2467	2467	-2544	
2468	2468	-269	
2469	2469	2556	
2470	2470	1129	
2471	2471	-2154	
2472	2472	-1567	
2473	2473	1887	
2474	2474	2170	
2475	2475	-1115	
2476	2476	-2390	
2477	2477	676	
2478	2478	2629	
2479	2479	239	
2480	2480	-2496	
2481	2481	-732	
2482	2482	2409	
2483	2483	1520	
2484	2484	-1867	
2485	2485	-1916	
2486	2486	1536	
2487	2487	2403	
2488	2488	-676	
2489	2489	-2520	
2490	2490	207	
2491	2491	2631	
2492	2492	692	
2493	2493	-2371	
2494	2494	-1171	
2495	2495	2183	
2496	2496	1878	
2497	2497	-1510	
2498	2498	-2185	
2499	2499	1119	
2500	2500	2556	
2501	2501	-218	
2502	2502	-2550	
2503	2503	-266	
2504	2504	2557	
2505	2505	1117	
2506	2506	-2153	
2507	2507	-1569	
2508	2508	1891	
2509	2509	2170	
2510	2510	-1113	
2511	2511	-2390	
2512	2512	675	
2513	2513	2636	
2514	2514	244	
2515	2515	-2499	
2516	2516	-733	
2517	2517	2411	
2518	2518	1527	
2519	2519	-1869	
2520	2520	-1908	
2521	2521	1532	
2522	2522	2401	
2523	2523	-682	
2524	2524	-2511	
2525	2525	205	
2526	2526	2635	
2527	2527	687	
2528	2528	-2360	
2529	2529	-1170	
2530	2530	2189	
2531	2531	1873	
2532	2532	-1515	
2533	2533	-2184	
2534	2534	1122	
2535	2535	2559	
2536	2536	-219	
2537	2537	-2549	
2538	2538	-269	
2539	2539	2561	
2540	2540	1128	
2541	2541	-2153	
2542	2542	-1571	
2543	2543	1890	
2544	2544	2177	
2545	2545	-1121	
2546	2546	-2389	
2547	2547	670	
2548	2548	2634	
2549	2549	241	
2550	2550	-2501	
2551	2551	-731	
2552	2552	2412	
2553	2553	1522	
2554	2554	-1864	
2555	2555	-1908	
2556	2556	1530	
2557	2557	2404	
2558	2558	-676	
2559	2559	-2512	
2560	2560	201	
2561	2561	2635	
2562	2562	694	
2563	2563	-2364	
2564	2564	-1169	
2565	2565	2192	
2566	2566	1875	
2567	2567	-1512	
2568	2568	-2186	
2569	2569	1120	
2570	2570	2551	
2571	2571	-228	
2572	2572	-2550	
2573	2573	-263	
2574	2574	2557	
2575	2575	1127	
2576	2576	-2150	
2577	2577	-1564	
2578	2578	1893	
2579	2579	2171	
2580	2580	-1120	
2581	2581	-2387	
2582	2582	673	
2583	2583	2629	
2584	2584	238	
2585	2585	-2495	
2586	2586	-735	
2587	2587	2411	
2588	2588	1520	
2589	2589	-1860	
2590	2590	-1907	
2591	2591	1538	
2592	2592	2403	
2593	2593	-683	
2594	2594	-2515	
2595	2595	203	
2596	2596	2628	
2597	2597	694	
2598	2598	-2368	
2599	2599	-1167	
2600	2600	2185	
2601	2601	1872	
2602	2602	-1514	
2603	2603	-2186	
2604	2604	1122	
2605	2605	2550	
2606	2606	-225	
2607	2607	-2554	
2608	2608	-269	
2609	2609	2561	
2610	2610	1123	
2611	2611	-2148	
2612	2612	-1564	
2613	2613	1889	
2614	2614	2175	
2615	2615	-1115	
2616	2616	-2392	
2617	2617	671	
2618	2618	2627	
2619	2619	244	
2620	2620	-2504	
2621	2621	-734	
2622	2622	2410	
2623	2623	1520	
2624	2624	-1864	
2625	2625	-1904	
2626	2626	1531	
2627	2627	2400	
2628	2628	-678	
2629	2629	-2508	
2630	2630	204	
2631	2631	2635	
2632	2632	699	
2633	2633	-2367	
2634	2634	-1169	
2635	2635	2192	
2636	2636	1875	
2637	2637	-1516	
2638	2638	-2185	
2639	2639	1121	
2640	2640	2557	
2641	2641	-219	
2642	2642	-2549	
2643	2643	-269	
2644	2644	2560	
2645	2645	1127	
2646	2646	-2153	
2647	2647	-1568	
2648	2648	1890	
2649	2649	2177	
2650	2650	-1119	
2651	2651	-2392	
2652	2652	674	
2653	2653	2632	
2654	2654	244	
2655	2655	-2501	
2656	2656	-727	
2657	2657	2412	
2658	2658	1524	
2659	2659	-1864	
2660	2660	-1910	
2661	2661	1527	
2662	2662	2401	
2663	2663	-680	
2664	2664	-2513	
2665	2665	204	
2666	2666	2632	
2667	2667	689	
2668	2668	-2363	
2669	2669	-1164	
2670	2670	2188	
2671	2671	1873	
2672	2672	-1515	
2673	2673	-2187	
2674	2674	1113	
2675	2675	2556	
2676	2676	-221	
2677	2677	-2545	
2678	2678	-270	
2679	2679	2561	
2680	2680	1126	
2681	2681	-2148	
2682	2682	-1565	
2683	2683	1898	
2684	2684	2175	
2685	2685	-1115	
2686	2686	-2388	
2687	2687	674	
2688	2688	2632	
2689	2689	239	
2690	2690	-2504	
2691	2691	-734	
2692	2692	2412	
2693	2693	1518	
2694	2694	-1867	
2695	2695	-1911	
2696	2696	1525	
2697	2697	2397	
2698	2698	-676	
2699	2699	-2513	
2700	2700	210	
2701	2701	2634	
2702	2702	695	
2703	2703	-2365	
2704	2704	-1161	
2705	2705	2184	
2706	2706	1875	
2707	2707	-1517	
2708	2708	-2186	
2709	2709	1120	
2710	2710	2554	
2711	2711	-224	
2712	2712	-2550	
2713	2713	-268	
2714	2714	2560	
2715	2715	1122	
2716	2716	-2156	
2717	2717	-1566	
2718	2718	1891	
2719	2719	2176	
2720	2720	-1114	
2721	2721	-2388	
2722	2722	674	
2723	2723	2632	
2724	2724	241	
2725	2725	-2500	
2726	2726	-731	
2727	2727	2410	
2728	2728	1524	
2729	2729	-1871	
2730	2730	-1913	
2731	2731	1535	
2732	2732	2401	
2733	2733	-684	
2734	2734	-2516	
2735	2735	210	
2736	2736	2633	
2737	2737	699	
2738	2738	-2363	
2739	2739	-1166	
2740	2740	2185	
2741	2741	1874	
2742	2742	-1515	
2743	2743	-2187	
2744	2744	1121	
2745	2745	2557	
2746	2746	-222	
2747	2747	-2553	
2748	2748	-272	
2749	2749	2561	
2750	2750	1125	
2751	2751	-2147	
2752	2752	-1567	
2753	2753	1892	
2754	2754	2173	
2755	2755	-1117	
2756	2756	-2391	
2757	2757	671	
2758	2758	2634	
2759	2759	244	
2760	2760	-2499	
2761	2761	-732	
2762	2762	2409	
2763	2763	1515	
2764	2764	-1864	
2765	2765	-1903	
2766	2766	1533	
2767	2767	2402	
2768	2768	-679	
2769	2769	-2516	
2770	2770	203	
2771	2771	2635	
2772	2772	692	
2773	2773	-2367	
2774	2774	-1166	
2775	2775	2191	
2776	2776	1877	
2777	2777	-1516	
2778	2778	-2187	
2779	2779	1116	
2780	2780	2553	
2781	2781	-219	
2782	2782	-2545	
2783	2783	-269	
2784	2784	2554	
2785	2785	1123	
2786	2786	-2151	
2787	2787	-1572	
2788	2788	1887	
2789	2789	2165	
2790	2790	-1113	
2791	2791	-2398	
2792	2792	680	
2793	2793	2636	
2794	2794	239	
2795	2795	-2499	
2796	2796	-726	
2797	2797	2413	
2798	2798	1520	
2799	2799	-1865	
2800	2800	-1912	
2801	2801	1532	
2802	2802	2398	
2803	2803	-680	
2804	2804	-2513	
2805	2805	203	
2806	2806	2637	
2807	2807	692	
2808	2808	-2365	
2809	2809	-1175	
2810	2810	2185	
2811	2811	1873	
2812	2812	-1515	
2813	2813	-2185	
2814	2814	1122	
2815	2815	2555	
2816	2816	-222	
2817	2817	-2552	
2818	2818	-264	
2819	2819	2561	
2820	2820	1124	
2821	2821	-2151	
2822	2822	-1566	
2823	2823	1890	
2824	2824	2170	
2825	2825	-1119	
2826	2826	-2391	
2827	2827	672	
2828	2828	2629	
2829	2829	243	
2830	2830	-2508	
2831	2831	-725	
2832	2832	2413	
2833	2833	1521	
2834	2834	-1869	
2835	2835	-1912	
2836	2836	1532	
2837	2837	2402	
2838	2838	-678	
2839	2839	-2518	
2840	2840	205	
2841	2841	2632	
2842	2842	693	
2843	2843	-2367	
2844	2844	-1168	
2845	2845	2189	
2846	2846	1875	
2847	2847	-1514	
2848	2848	-2187	
2849	2849	1115	
2850	2850	2554	
2851	2851	-223	
2852	2852	-2549	
2853	2853	-268	
2854	2854	2561	
2855	2855	1122	
2856	2856	-2154	
2857	2857	-1566	
2858	2858	1892	
2859	2859	2167	
2860	2860	-1115	
2861	2861	-2390	
2862	2862	676	
2863	2863	2628	
2864	2864	241	
2865	2865	-2505	
2866	2866	-734	
2867	2867	2415	
2868	2868	1520	
2869	2869	-1864	
2870	2870	-1911	
2871	2871	1530	
2872	2872	2402	
2873	2873	-675	
2874	2874	-2513	
2875	2875	198	
2876	2876	2631	
2877	2877	699	
2878	2878	-2367	
2879	2879	-1171	
2880	2880	2187	
2881	2881	1871	
2882	2882	-1515	
2883	2883	-2189	
2884	2884	1117	
2885	2885	2556	
2886	2886	-221	
2887	2887	-2542	
2888	2888	-263	
2889	2889	2555	
2890	2890	1126	
2891	2891	-2154	
2892	2892	-1572	
2893	2893	1894	
2894	2894	2167	
2895	2895	-1111	
2896	2896	-2392	
2897	2897	674	
2898	2898	2638	
2899	2899	237	
2900	2900	-2497	
2901	2901	-728	
2902	2902	2409	
2903	2903	1518	
2904	2904	-1869	
2905	2905	-1908	
2906	2906	1534	
2907	2907	2402	
2908	2908	-678	
